Coin,quote_currency,cryptopair
LCX,USD,LCXUSD
LAUNCHCOIN,USD,LAUNCHCOINUSD
ICX,USD,ICXUSD
CVC,USD,CVCUSD
SKL,USD,SKLUSD
G,FUSD,GFUSD
VVS,USD,VVSUSD
MYTH,USD,MYTHUSD
COTI,USD,COTIUSD
FX,USD,FXUSD
XNO,USD,XNOUSD
ARKM,USD,ARKMUSD
BOME,USD,BOMEUSD
ME,DUSD,MEDUSD
GOHOME,USD,GOHOMEUSD
WMTX,USD,WMTXUSD
LUNA,USD,LUNAUSD
DAG,USD,DAGUSD
LRC,USD,LRCUSD
BEBE,4USD,BEBE4USD
REQ,USD,REQUSD
ONT,USD,ONTUSD
VENOM,2USD,VENOM2USD
WXT,USD,WXTUSD
COOKIE,2USD,COOKIE2USD
HIVE,USD,HIVEUSD
PHA,USD,PHAUSD
ALCH,USD,ALCHUSD
BIGTIME,USD,BIGTIMEUSD
TRB,USD,TRBUSD
USDL,USD,USDLUSD
INF,IUSD,INFIUSD
STPT,USD,STPTUSD
SIREN,USD,SIRENUSD
HONEY,USD,HONEYUSD
VSUI,USD,VSUIUSD
SXP,USD,SXPUSD
MPLX,USD,MPLXUSD
AP3X,USD,AP3XUSD
PURR,2USD,PURR2USD
ULX,USD,ULXUSD
STORJ,USD,STORJUSD
PAAL,USD,PAALUSD
METIS,USD,METISUSD
STIK,USD,STIKUSD
XPR,USD,XPRUSD
MIM,USD,MIMUSD
KMNO,USD,KMNOUSD
OZO,USD,OZOUSD
SWETH,USD,SWETHUSD
NPC,SUSD,NPCSUSD
INIT,USD,INITUSD
XVG,USD,XVGUSD
BAND,USD,BANDUSD
WEMIX,USD,WEMIXUSD
SSV,USD,SSVUSD
BBSOL,USD,BBSOLUSD
KUB,USD,KUBUSD
SOPH,USD,SOPHUSD
RPL,USD,RPLUSD
BOX,DEUSD,BOXDEUSD
CAD,UCUSD,CADUCUSD
CFG,USD,CFGUSD
CAPY,BARUSD,CAPYBARUSD
PROM,USD,PROMUSD
XAI,2USD,XAI2USD
PEOPLE,USD,PEOPLEUSD
PRO,USD,PROUSD
SOLO,USD,SOLOUSD
RED,USD,REDUSD
MANTA,USD,MANTAUSD
SGB,USD,SGBUSD
XVS,USD,XVSUSD
CETUS,USD,CETUSUSD
RSWETH,USD,RSWETHUSD
ORBR,USD,ORBRUSD
VELO,USD,VELOUSD
GEKKO,USD,GEKKOUSD
YGG,USD,YGGUSD
CPOOL,USD,CPOOLUSD
USUAL,USD,USUALUSD
BORA,USD,BORAUSD
BICO,USD,BICOUSD
CARV,USD,CARVUSD
MARS,HUSD,MARSHUSD
SATS,OUSD,SATSOUSD
ALT,BUSD,ALTBUSD
UMA,USD,UMAUSD
AUDIO,USD,AUDIOUSD
CGPT,USD,CGPTUSD
WAXP,USD,WAXPUSD
PEAQ,USD,PEAQUSD
AAI,AVUSD,AAIAVUSD
BMX,USD,BMXUSD
SPELL,USD,SPELLUSD
POWR,USD,POWRUSD
CATI,ZUSD,CATIZUSD
STRAX,USD,STRAXUSD
MIU,2USD,MIU2USD
ABT,USD,ABTUSD
VVV,USD,VVVUSD
LON,USD,LONUSD
SIGN,2USD,SIGN2USD
ARDR,USD,ARDRUSD
IOST,USD,IOSTUSD
NMD,USD,NMDUSD
MVL,USD,MVLUSD
FLUX,BUSD,FLUXBUSD
AAST,USD,AASTUSD
SONIC,USD,SONICUSD
DYM,USD,DYMUSD
MERL,USD,MERLUSD
BANANA,GUSD,BANANAGUSD
DLC,USD,DLCUSD
TCAPY,USD,TCAPYUSD
AEVO,USD,AEVOUSD
NIL,USD,NILUSD
ACX,USD,ACXUSD
USDB,2USD,USDB2USD
MEME,USD,MEMEUSD
PUNDIX,USD,PUNDIXUSD
IQ,USD,IQUSD
XRD,USD,XRDUSD
BLAST,2USD,BLAST2USD
LSK,USD,LSKUSD
WILD,USD,WILDUSD
AGI,USD,AGIUSD
FRXUSD,USD,FRXUSDUSD
POND,USD,PONDUSD
OMNI,CUSD,OMNICUSD
CDT,TUSD,CDTTUSD
ORBS,USD,ORBSUSD
AITECH,USD,AITECHUSD
ERG,USD,ERGUSD
DOGS,2USD,DOGS2USD
ALEO,USD,ALEOUSD
RLC,USD,RLCUSD
USDP,USD,USDPUSD
NEIRO,USD,NEIROUSD
GLMR,USD,GLMRUSD
DKA,USD,DKAUSD
ELON,USD,ELONUSD
MLK,USD,MLKUSD
BNT,USD,BNTUSD
ONG,USD,ONGUSD
TAIKO,USD,TAIKOUSD
GCB,USD,GCBUSD
ILV,USD,ILVUSD
XEM,USD,XEMUSD
USDTB,USD,USDTBUSD
AVAIL,USD,AVAILUSD
APFC,USD,APFCUSD
CHR,USD,CHRUSD
LQTY,USD,LQTYUSD
CULT,USD,CULTUSD
KEEP,USD,KEEPUSD
PCI,USD,PCIUSD
DENT,USD,DENTUSD
SAGA,2USD,SAGA2USD
BITCOIN,USD,BITCOINUSD
PONKE,USD,PONKEUSD
PUNDIAI,USD,PUNDIAIUSD
HEART,USD,HEARTUSD
ARK,USD,ARKUSD
AL,USD,ALUSD
NMR,USD,NMRUSD
AIAT,USD,AIATUSD
STEEM,USD,STEEMUSD
REKT,USD,REKTUSD
B3,USD,B3USD
MED,USD,MEDUSD
FIDA,USD,FIDAUSD
BAL,USD,BALUSD
FMC,USD,FMCUSD
OSAK,USD,OSAKUSD
WPAY,WUSD,WPAYWUSD
BDCA,USD,BDCAUSD
CLASH,UUSD,CLASHUUSD
CHILLGUY,USD,CHILLGUYUSD
BAN,USD,BANUSD
SOLV,USD,SOLVUSD
VANRY,USD,VANRYUSD
USTC,USD,USTCUSD
JOE,USD,JOEUSD
GFI,USD,GFIUSD
LB,USD,LBUSD
HUMA,USD,HUMAUSD
BONE,USD,BONEUSD
CORGIAI,USD,CORGIAIUSD
SKI,DUSD,SKIDUSD
CELR,USD,CELRUSD
CLEAR,EUSD,CLEAREUSD
BB,FUSD,BBFUSD
CNG,USD,CNGUSD
BTRST,USD,BTRSTUSD
DHN,USD,DHNUSD
AUCTION,USD,AUCTIONUSD
MTL,USD,MTLUSD
MOVR,USD,MOVRUSD
COM,BRUSD,COMBRUSD
CORE,USD,COREUSD
DEGEN,USD,DEGENUSD
SLP,USD,SLPUSD
LABUBU,SUSD,LABUBUSUSD
IAG,USD,IAGUSD
BAC,USD,BACUSD
PIN,LUSD,PINLUSD
KNC,USD,KNCUSD
ZENT,USD,ZENTUSD
AGLD,USD,AGLDUSD
API3,USD,API3USD
GRIFFAIN,USD,GRIFFAINUSD
AEUR,USD,AEURUSD
CXT,COUSD,CXTCOUSD
AERGO,USD,AERGOUSD
GAME,BUSD,GAMEBUSD
SOSO,USD,SOSOUSD
SUNDOG,USD,SUNDOGUSD
OAS,USD,OASUSD
HASHAI,USD,HASHAIUSD
DAPP,PUSD,DAPPPUSD
FUEL,USD,FUELUSD
OMI,USD,OMIUSD
SUPRA,USD,SUPRAUSD
DEGO,USD,DEGOUSD
FWOG,2USD,FWOG2USD
SCRT,USD,SCRTUSD
CTSI,USD,CTSIUSD
ANON,HUSD,ANONHUSD
ISLM,USD,ISLMUSD
SDEX,USD,SDEXUSD
0X0,USD,0X0USD
GODS,USD,GODSUSD
DEFI,3USD,DEFI3USD
ZRC,ZUSD,ZRCZUSD
EDU,OUSD,EDUOUSD
OXT,USD,OXTUSD
LAK3,USD,LAK3USD
XYM,USD,XYMUSD
ACS,AUSD,ACSAUSD
ROAM,USD,ROAMUSD
ANDY,2USD,ANDY2USD
CYBER,USD,CYBERUSD
GEAR,BUSD,GEARBUSD
ALI,USD,ALIUSD
WIN,USD,WINUSD
SCR,OUSD,SCROUSD
PARTI,USD,PARTIUSD
HDX,HUSD,HDXHUSD
X,IUSD,XIUSD
CAT,AUSD,CATAUSD
HT,USD,HTUSD
QI,USD,QIUSD
AURORA,USD,AURORAUSD
OLAS,USD,OLASUSD
SN,USD,SNUSD
GUSD,USD,GUSDUSD
AUSDT,USD,AUSDTUSD
