id,symbol,name,market_cap (usd),market_cap_rank,categories
loki-network,oxen,Oxen,6425340,1712,[]
reserve-rights-token,rsr,Reserve Rights,343735709,188,[]
coin98,c98,Coin98,65283501,569,[]
arc,arc,Arc,6437410,1709,[]
beam-2,beam,Beam,344517559,187,[]
ark,ark,ARK,65590532,568,[]
arianee,aria20,Arianee,6437662,1708,[]
aioz-network,aioz,AIOZ Network,348114741,186,[]
metal,mtl,Metal DAO,65700563,567,[]
herbcoin,herb,HERBCOIN,6445144,1710,[]
stakestone-berachain-vault-token,berastone,StakeStone Berachain Vault Token,348322184,185,[]
renzo-restaked-lst,pzeth,Renzo Restaked LST,65730057,566,[]
kwenta,kwenta,Kwenta,6465850,1706,[]
based-brett,brett,Brett,349385884,184,[]
spiko-us-t-bills-money-market-fund,ustbl,Spiko US T-Bills Money Market Fund,66059900,565,[]
minidoge-4,minidoge,MiniDoge,6466878,1711,[]
verus-coin,vrsc,Verus,349684595,182,[]
omni-network,omni,Omni Network,66134978,564,[]
hydro-protocol-2,hdro,Hydro Protocol,6482416,1705,[]
morpho,morpho,Morpho,350415601,183,[]
access-protocol,acs,Access Protocol,66424318,563,[]
inter-milan-fan-token,inter,Inter Milan Fan Token,6487791,1707,[]
axelar,axl,Axelar,355857719,181,[]
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,66715198,562,[]
paint-swap,brush,Paintswap,6488252,1704,[]
gnosis,gno,Gnosis,358710006,180,[]
terrausd,ustc,TerraClassicUSD,66889033,561,[]
pepe-2-0,pepe2.0,Pepe 2.0,6534435,1703,[]
tbtc,tbtc,tBTC,365474595,179,[]
dogs-2,dogs,Dogs,66916279,560,[]
wifi,wifi,WiFi Map,6536067,1696,[]
olympus,ohm,Olympus,374239247,178,[]
pinlink,pin,PinLink,66929323,559,[]
celo-euro,ceur,Celo Euro,6538835,1701,[]
stakewise-v3-oseth,oseth,StakeWise Staked ETH,378076629,177,[]
humans-ai,heart,Humans.ai,67027962,558,[]
nuritopia,nblu,Nuritopia,6542154,1700,[]
pendle,pendle,Pendle,382882619,176,[]
cartesi,ctsi,Cartesi,67096918,557,[]
singularitydao,sdao,SingularityDAO,6546889,1699,[]
kaito,kaito,KAITO,385833909,175,[]
bitget-wallet-token,bwb,Bitget Wallet Token,67182897,556,[]
pingo,pingo,PinGo,6548383,1702,[]
pudgy-penguins,pengu,Pudgy Penguins,387173313,173,[]
cetus-protocol,cetus,Cetus Protocol,67539022,555,[]
robonomics-network,xrt,Robonomics Network,6565275,1698,[]
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,387953216,174,[]
non-playable-coin,npc,Non-Playable Coin,67563193,554,[]
1guy,1guy,1GUY,6570121,1697,[]
amp-token,amp,Amp,395023501,172,[]
medibloc,med,Medibloc,68050904,553,[]
wefi,wfi,WeFi,6584943,1693,[]
infrared-bera,ibera,Infrared Bera,396872387,171,[]
steem,steem,Steem,68319813,552,[]
memdex100,memdex,MEMDEX100,6592687,1695,[]
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud,397108193,170,[]
autonomi,ant,Autonomi,68588087,551,[]
sixpack-token-sixp,sixp,Sixpack Token (SIXP),6595885,1692,[]
hashnote-usyc,usyc,Hashnote USYC,405097108,169,[]
renzo-restaked-sol,ezsol,Renzo Restaked SOL,68680758,550,[]
thorwallet,tgt,THORWallet DEX,6604222,1691,[]
usdb,usdb,USDB,405897201,168,[]
solend,slnd,Solend,69360419,549,[]
genopets,gene,Genopets,6609319,1694,[]
ousg,ousg,OUSG,408308840,167,[]
autonolas,olas,Autonolas,69375454,548,[]
sentio-protocol,sen,Sentio Protocol,6650645,1690,[]
trust-wallet-token,twt,Trust Wallet,410307033,166,[]
pay-coin,pci,Paycoin,69519130,547,[]
konnektvpn,kpn,KonnektVPN,6664761,1688,[]
clbtc,clbtc,clBTC,424425416,165,[]
wilder-world,wild,Wilder World,69570744,546,[]
heroes-of-mavia,mavia,Heroes of Mavia,6666113,1689,[]
apecoin,ape,ApeCoin,426894748,164,[]
undeads-games,uds,Undeads Games,69583705,545,[]
fric,fric,FRIC,6668126,1687,[]
compound-governance-token,comp,Compound,429927815,163,[]
numeraire,nmr,Numeraire,69870096,544,[]
deepbrain-chain,dbc,DeepBrain Chain,6674927,1686,[]
matic-network,matic,Polygon,434722907,162,[]
ecomi,omi,ECOMI,70128292,543,[]
swarm-markets,smt,Swarm Markets,6682272,1685,[]
usdx,usdx,USDX,70196157,542,[]
e-radix,exrd,e-Radix,6720257,1684,[]
ecash,xec,eCash,442155273,160,[]
staked-frax,sfrax,Staked FRAX,70473514,541,[]
fx-coin,fx,Function X,6741051,1683,[]
ergo,erg,Ergo,70538594,540,[]
astraai,astra,AstraAI,6761093,1682,[]
chiliz,chz,Chiliz,445687210,158,[]
keep-network,keep,Keep Network,71316181,539,[]
thorchain,rune,THORChain,446954846,157,[]
islamic-coin,islm,Islamic Coin,71575220,538,[]
ovr,ovr,Ovr,6802270,1680,[]
coredaoorg,core,Core,447925660,156,[]
dforce-token,df,dForce,71671885,537,[]
